Date,Open,High,Low,Close,Adj Close,Volume
12-01-2016,7587.200195,7588.299805,7487.799805,7510.299805,7510.299805,163900
13-01-2016,7557.899902,7590.950195,7425.799805,7562.399902,7562.399902,215200
14-01-2016,7467.399902,7604.799805,7443.799805,7536.799805,7536.799805,200800
15-01-2016,7561.649902,7566.5,7427.299805,7437.799805,7437.799805,197500
18-01-2016,7420.350098,7463.649902,7336.399902,7351,7351,233600
19-01-2016,7381.799805,7462.75,7364.149902,7435.100098,7435.100098,188300
20-01-2016,7357,7470.899902,7241.5,7309.299805,7309.299805,225600
21-01-2016,7376.649902,7398.700195,7250,7276.799805,7276.799805,240700
22-01-2016,7355.700195,7433.399902,7327.600098,7422.450195,7422.450195,229200
25-01-2016,7468.75,7487.149902,7421.200195,7436.149902,7436.149902,163200
27-01-2016,7469.600098,7477.899902,7419.700195,7437.75,7437.75,187600
28-01-2016,7426.5,7468.850098,7409.600098,7424.649902,7424.649902,274500
29-01-2016,7413.350098,7575.649902,7402.799805,7563.549805,7563.549805,298700
01-02-2016,7589.5,7600.450195,7541.25,7555.950195,7555.950195,200400
02-02-2016,7566.649902,7576.299805,7428.049805,7455.549805,7455.549805,230200
03-02-2016,7392.450195,7419.399902,7350.299805,7361.799805,7361.799805,192000
04-02-2016,7411.450195,7457.049805,7365.950195,7404,7404,222700
05-02-2016,7418.25,7503.149902,7406.649902,7489.100098,7489.100098,249800
08-02-2016,7489.700195,7512.549805,7363.200195,7387.25,7387.25,171500
09-02-2016,7303.950195,7323.450195,7275.149902,7298.200195,7298.200195,212100
10-02-2016,7264.299805,7271.850098,7177.75,7215.700195,7215.700195,246900
11-02-2016,7203.600098,7208.649902,6959.950195,6976.350098,6976.350098,292300
12-02-2016,7023.649902,7034.799805,6869,6980.950195,6980.950195,333900
15-02-2016,7057.350098,7182.799805,7056.799805,7162.950195,7162.950195,354200
16-02-2016,7201.25,7204.649902,7037.700195,7048.25,7048.25,253800
17-02-2016,7058.850098,7123.700195,6960.649902,7108.450195,7108.450195,260000
18-02-2016,7177.399902,7215.100098,7127.850098,7191.75,7191.75,246700
19-02-2016,7170.549805,7226.850098,7145.950195,7210.75,7210.75,192300
22-02-2016,7208.850098,7252.399902,7200.700195,7234.549805,7234.549805,154400
23-02-2016,7240.299805,7241.700195,7090.700195,7109.549805,7109.549805,194400
24-02-2016,7075,7090.799805,7009.75,7018.700195,7018.700195,199700
25-02-2016,7029.850098,7034.200195,6961.399902,6970.600098,6970.600098,283100
26-02-2016,7039.299805,7052.899902,6985.100098,7029.75,7029.75,206700
29-02-2016,7050.450195,7094.600098,6825.799805,6987.049805,6987.049805,473400
01-03-2016,7038.25,7235.5,7035.100098,7222.299805,7222.299805,275100
02-03-2016,7321.700195,7380.350098,7308.149902,7368.850098,7368.850098,338500
03-03-2016,7429.549805,7483.950195,7406.049805,7475.600098,7475.600098,278600
04-03-2016,7505.399902,7505.899902,7444.100098,7485.350098,7485.350098,281700
08-03-2016,7486.399902,7527.149902,7442.149902,7485.299805,7485.299805,257000
09-03-2016,7436.100098,7539,7424.299805,7531.799805,7531.799805,245100
10-03-2016,7545.350098,7547.100098,7447.399902,7486.149902,7486.149902,224700
11-03-2016,7484.850098,7543.950195,7460.600098,7510.200195,7510.200195,198700
14-03-2016,7542.600098,7583.700195,7515.049805,7538.75,7538.75,166900
15-03-2016,7535.850098,7545.200195,7452.799805,7460.600098,7460.600098,193700
16-03-2016,7457.049805,7508,7405.149902,7498.75,7498.75,195400
17-03-2016,7557.399902,7585.299805,7479.399902,7512.549805,7512.549805,239600
18-03-2016,7534.649902,7613.600098,7517.899902,7604.350098,7604.350098,237400
21-03-2016,7619.200195,7713.549805,7617.700195,7704.25,7704.25,196800
22-03-2016,7695.549805,7728.200195,7643.799805,7714.899902,7714.899902,208900
23-03-2016,7717.450195,7726.850098,7670.600098,7716.5,7716.5,199600
28-03-2016,7741,7749.399902,7587.700195,7615.100098,7615.100098,242400
29-03-2016,7606.549805,7652.899902,7582.25,7597,7597,216800
30-03-2016,7651.100098,7741.950195,7643.450195,7735.200195,7735.200195,232600
31-03-2016,7727.649902,7777.600098,7702,7738.399902,7738.399902,380100
01-04-2016,7718.049805,7740.149902,7666.100098,7713.049805,7713.049805,183900
04-04-2016,7733.149902,7764.450195,7704.399902,7758.799805,7758.799805,155500
05-04-2016,7736.299805,7736.299805,7588.649902,7603.200195,7603.200195,203800
06-04-2016,7636.049805,7638.649902,7591.75,7614.350098,7614.350098,165600
07-04-2016,7630.399902,7630.75,7535.850098,7546.450195,7546.450195,234400
08-04-2016,7542.350098,7569.350098,7526.700195,7555.200195,7555.200195,143400
11-04-2016,7577.799805,7678.799805,7516.850098,7671.399902,7671.399902,179800
12-04-2016,7669.25,7717.399902,7663.350098,7708.950195,7708.950195,163400
13-04-2016,7777.149902,7864.799805,7772.200195,7850.450195,7850.450195,220400
18-04-2016,7908.149902,7920.600098,7842.75,7914.700195,7914.700195,184600
20-04-2016,7950.049805,7950.399902,7877.549805,7914.75,7914.75,205300
21-04-2016,7953.649902,7978.450195,7884.100098,7912.049805,7912.049805,223700
22-04-2016,7891.799805,7923.350098,7873.350098,7899.299805,7899.299805,183300
25-04-2016,7894.799805,7911,7827,7855.049805,7855.049805,146300
26-04-2016,7828.149902,7974.5,7822.549805,7962.649902,7962.649902,202400
27-04-2016,7942,7991,7940.549805,7979.899902,7979.899902,206800
28-04-2016,7967.399902,7992,7834.450195,7847.25,7847.25,292500
29-04-2016,7844.25,7889.049805,7788.700195,7849.799805,7849.799805,243700
02-05-2016,7822.700195,7829.799805,7777.299805,7805.899902,7805.899902,146300
03-05-2016,7824.799805,7890.25,7735.149902,7747,7747,186500
04-05-2016,7724.149902,7749,7697.25,7706.549805,7706.549805,199700
05-05-2016,7731,7777.549805,7706.850098,7735.5,7735.5,185100
06-05-2016,7717.649902,7738.899902,7678.350098,7733.450195,7733.450195,163600
09-05-2016,7755.25,7873.649902,7753.549805,7866.049805,7866.049805,160600
10-05-2016,7873.549805,7896.899902,7837.700195,7887.799805,7887.799805,162000
11-05-2016,7804.649902,7893.100098,7780.899902,7848.850098,7848.850098,214100
12-05-2016,7871.450195,7916.049805,7849.649902,7900.399902,7900.399902,152700
